"Service","Unit","Basic","Standard","Premium"
"Consultation call","Per 60 min","₹1,500 nobroker+1","₹3,000 nobroker+1","₹5,000 nobroker+1"
"Site inspection","Per visit","₹4,000 instagram+1","₹7,500 instagram+1","₹12,000 instagram+1"
"Concept planning","Per sq ft","₹18 instagram+1","₹28 instagram+1","₹40 instagram+1"
"Plans + sections + elevations","Per sq ft","₹45 instagram+1","₹75 instagram+1","₹110 instagram+1"
"Full architectural design","Per sq ft","₹60 instagram+2","₹95 instagram+2","₹140 instagram+1"
"Design + supervision","Per sq ft","₹150 kusharchitects","₹200 kusharchitects+1","₹275 kusharchitects+1"
"3D floor plan","Per floor","₹5,000 chasingillusions","₹10,000 chasingillusions","₹18,000 chasingillusions"
"Exterior render","Per view","₹9,000 coohom+1","₹16,000 peninsularartworks","₹28,000 coohom+1"
"Interior render","Per view","₹10,000 coohom+1","₹18,000 peninsularartworks+1","₹32,000 peninsularartworks+1"
"Walkthrough animation","Per minute","₹45,000 peninsularartworks+1","₹75,000 peninsularartworks+1","₹1,25,000 peninsularartworks+1"
"UX consultation","Per 60 min","₹2,000","₹4,000","₹7,500"
"UX / website strategy","Per day","₹8,000","₹15,000","₹25,000"
"Landing page UX/UI","Per page","₹20,000","₹35,000","₹60,000"
"Multi-page website design","Per page","₹10,000","₹18,000","₹30,000"
"Brand/profile deck","Per item","₹8,000","₹18,000","₹35,000"
