cadence,vertical,package_code,package_name,tier,target_client,billing_basis,included_services,package_price_inr,discount_pct,notes,other_package_type,active
weekly,Construction / Execution Support,WPK-EXE-001,Weekly Site Review,basic,Site-stage residential clients,per_week,Site supervision visit | Progress review meeting,7600,5,One weekly review cycle for active sites.,weekly,yes
weekly,Construction / Execution Support,WPK-EXE-002,Weekly Coordination Sprint,standard,Clients managing multiple vendors,per_week,Site supervision visit | Contractor coordination | Vendor coordination | Progress review meeting,35880,8,Best for active execution weeks with decisions pending.,weekly,yes
weekly,Construction / Execution Support,WPK-EXE-003,Weekly Execution Control,premium,Premium build-monitoring clients,per_week,Site supervision visit | Contractor coordination | Vendor coordination | Progress review meeting | Quality checklist support,77400,10,High-control weekly package with quality oversight.,weekly,yes
weekly,Advisory / Premium Thinking,WPK-ADV-001,Weekly Design Desk,standard,Clients needing recurring expert guidance,per_week,Review calls | Concept critique,18400,8,Useful during fast-moving design phases.,weekly,yes
weekly,UI/UX / Digital Experience,WPK-DIG-001,Weekly UX Sprint,standard,Growing businesses iterating quickly,per_week,CTA optimization | Form flow design | WhatsApp integration planning,47840,8,One focused optimization sprint per week.,weekly,yes
weekly,Graphic / Brand / Presentation,WPK-BRD-001,Weekly Brand Support,standard,Businesses preparing pitches or launches,per_week,Presentation deck | Project sheet design,24840,8,Best for weekly client meetings or investor updates.,weekly,yes
monthly,Advisory / Premium Thinking,MPK-ADV-001,Monthly Advisory Lite,basic,Small clients wanting strategic access,per_month,Monthly design advisor retainer,10000,0,Entry monthly advisory plan.,monthly,yes
monthly,Advisory / Premium Thinking,MPK-ADV-002,Monthly Advisory Pro,standard,Active design/build clients,per_month,Monthly design advisor retainer | Review calls | Concept critique,39900,5,Best-value monthly strategy and review package.,monthly,yes
monthly,Advisory / Premium Thinking,MPK-ADV-003,Monthly Advisory Signature,premium,Premium clients needing close support,per_month,Monthly design advisor retainer | Review calls | Concept critique | Site decision support | Client presentation support,107640,8,High-touch advisory package for premium clients.,monthly,yes
monthly,Construction / Execution Support,MPK-EXE-001,Monthly Site Oversight,standard,Homeowners during build stage,per_month,Project consultation | Site supervision visit | Progress review meeting | Execution timeline planning,49950,10,Assumes multiple checkpoints within a month.,monthly,yes
monthly,Construction / Execution Support,MPK-EXE-002,Monthly Execution Control,premium,Clients needing tighter build discipline,per_month,Project consultation | Site supervision visit | Contractor coordination | Vendor coordination | Progress review meeting | Quality checklist support | Billing verification support,151800,12,For active sites needing commercial and quality control.,monthly,yes
